order_item_id,order_id,product_id,seller_id,quantity,unit_price,line_amount,created_timestamp,updated_timestamp,is_active
1,1,145,25,3,82107.75,246323.25,2024-03-01 10:44:42,2024-03-18 10:44:42,Y
2,1,154,31,3,68079.81,204239.43,2026-04-24 05:31:01,2026-09-11 05:31:01,Y
3,2,59,21,4,42308.11,169232.44,2024-11-01 11:22:25,2025-01-27 11:22:25,Y
4,3,15,30,3,58500.7,175502.1,2023-06-30 15:51:15,2023-08-18 15:51:15,Y
5,3,174,23,1,89471.3,89471.3,2026-01-28 12:54:06,2026-05-29 12:54:06,Y
6,3,70,34,4,38220.89,152883.56,2026-02-04 22:54:31,2026-03-15 22:54:31,Y
7,3,275,11,4,27633.73,110534.92,2024-11-07 03:35:12,2025-03-05 03:35:12,Y
8,3,29,28,3,64172.64,192517.92,2026-06-07 22:02:08,2026-08-22 22:02:08,Y
9,4,275,11,3,27633.73,82901.19,2022-02-28 03:44:51,2022-04-22 03:44:51,Y
10,4,182,35,3,5267.67,15803.01,2022-07-25 17:12:07,2022-09-01 17:12:07,Y
11,4,16,20,2,21284.04,42568.08,2024-11-19 17:02:12,2025-02-23 17:02:12,Y
12,4,293,28,1,22153.28,22153.28,2025-04-25 08:10:00,2025-06-11 08:10:00,Y
13,4,158,30,1,44552.34,44552.34,2024-09-04 02:46:28,2025-03-04 02:46:28,Y
14,5,212,21,2,13147.4,26294.8,2022-09-27 16:06:43,2023-02-01 16:06:43,Y
15,5,191,38,2,19687.08,39374.16,2025-11-05 00:34:40,2026-01-21 00:34:40,Y
16,5,269,38,1,8563.12,8563.12,2024-07-28 06:29:10,2024-09-10 06:29:10,Y
17,6,20,24,4,5636.4,22545.6,2023-09-20 21:32:58,2023-10-13 21:32:58,Y
18,6,260,16,2,23799.81,47599.62,2022-03-19 11:16:16,2022-07-20 11:16:16,Y
19,6,98,22,3,44876.6,134629.8,2024-11-22 16:52:47,2025-03-25 16:52:47,Y
20,7,74,40,2,39502.07,79004.14,2022-11-02 06:10:02,2023-03-14 06:10:02,Y
21,7,106,24,4,25225.34,100901.36,2022-04-24 13:33:17,2022-08-19 13:33:17,Y
22,7,268,33,3,84281.98,252845.94,2022-12-26 21:21:26,2022-12-27 21:21:26,Y
23,8,45,40,1,24633.84,24633.84,2024-11-01 11:53:07,2025-02-28 11:53:07,Y
24,9,267,18,3,40787.86,122363.58,2024-08-28 20:15:27,2024-09-02 20:15:27,Y
25,10,165,33,3,28124.82,84374.46,2023-09-16 02:30:10,2023-11-04 02:30:10,Y
26,10,142,16,4,10067.62,40270.48,2026-07-12 17:21:39,2026-10-01 17:21:39,Y
27,11,140,31,3,87489.71,262469.13,2023-04-09 22:09:37,2023-05-19 22:09:37,Y
28,12,8,38,2,8292.98,16585.96,2026-05-17 03:08:28,2026-06-12 03:08:28,Y
29,13,180,27,3,21810.83,65432.49,2026-09-03 19:40:21,2026-11-23 19:40:21,Y
30,13,73,22,2,11967.2,23934.4,2024-05-30 01:58:13,2024-10-23 01:58:13,Y
31,13,88,1,3,51444.6,154333.8,2022-08-10 08:15:13,2022-10-28 08:15:13,Y
32,13,277,29,2,31051.96,62103.92,2025-10-10 08:45:56,2025-10-22 08:45:56,Y
33,13,15,30,1,58500.7,58500.7,2026-01-02 12:35:18,2026-06-23 12:35:18,Y
34,14,197,36,4,64856.07,259424.28,2022-06-17 03:36:34,2022-07-09 03:36:34,Y
35,15,92,38,3,12179.18,36537.54,2025-10-17 03:57:40,2026-03-23 03:57:40,Y
36,15,160,12,1,71209.94,71209.94,2024-10-29 12:28:36,2024-12-18 12:28:36,Y
37,15,239,38,4,31177.07,124708.28,2023-02-14 11:22:06,2023-03-09 11:22:06,Y
38,15,50,25,4,45122.56,180490.24,2025-11-16 10:49:04,2026-02-03 10:49:04,Y
39,16,119,9,3,48105.33,144315.99,2023-11-27 07:19:27,2024-01-02 07:19:27,Y
40,16,187,16,3,77206.2,231618.6,2025-05-03 03:22:27,2025-06-18 03:22:27,Y
41,16,167,36,1,48468.09,48468.09,2025-11-09 07:14:06,2026-03-13 07:14:06,Y
42,16,34,7,3,59925.69,179777.07,2026-01-16 19:29:56,2026-02-13 19:29:56,Y
43,17,237,22,3,1146.19,3438.57,2023-06-15 15:53:10,2023-08-26 15:53:10,Y
44,17,295,1,1,1218.28,1218.28,2023-01-31 19:11:06,2023-06-10 19:11:06,Y
45,17,208,6,1,3044.27,3044.27,2022-11-29 09:06:13,2023-02-20 09:06:13,Y
46,17,155,4,4,58775.43,235101.72,2026-07-14 04:23:18,2026-11-09 04:23:18,Y
47,18,212,21,2,13147.4,26294.8,2024-01-12 05:27:46,2024-06-18 05:27:46,Y
48,18,281,14,4,82805.49,331221.96,2023-05-10 01:24:43,2023-09-10 01:24:43,Y
49,18,34,7,4,59925.69,239702.76,2024-11-24 13:29:20,2025-01-16 13:29:20,Y
50,18,223,36,2,46994.19,93988.38,2024-11-29 04:20:37,2025-04-17 04:20:37,Y
51,18,89,24,4,45757.03,183028.12,2022-08-31 00:13:39,2023-03-08 00:13:39,Y
52,19,238,34,1,51855.14,51855.14,2024-10-07 21:56:56,2025-02-26 21:56:56,Y
53,20,91,2,1,31162.26,31162.26,2024-08-15 00:48:28,2024-11-26 00:48:28,Y
54,20,56,8,4,81550.86,326203.44,2025-03-23 05:39:11,2025-06-14 05:39:11,Y
55,20,32,8,2,79017.02,158034.04,2022-10-09 06:37:49,2022-12-03 06:37:49,Y
56,20,298,37,2,41075.76,82151.52,2022-01-01 13:44:42,2022-07-13 13:44:42,Y
57,21,232,14,4,74848.11,299392.44,2026-07-09 13:18:19,2026-09-21 13:18:19,Y
58,21,296,34,2,15192.27,30384.54,2025-10-21 06:38:57,2025-12-10 06:38:57,Y
59,22,154,31,3,68079.81,204239.43,2024-08-04 04:54:12,2024-11-23 04:54:12,Y
60,22,46,29,4,67992.89,271971.56,2022-01-26 05:24:54,2022-07-01 05:24:54,Y
61,22,66,22,3,71071.58,213214.74,2024-07-02 23:59:54,2024-07-17 23:59:54,Y
62,23,28,34,3,86768.55,260305.65,2022-01-03 14:52:55,2022-07-02 14:52:55,Y
63,23,57,7,2,15779.21,31558.42,2024-05-26 19:02:46,2024-06-02 19:02:46,Y
64,23,222,39,3,1307.19,3921.57,2025-05-09 22:46:36,2025-10-16 22:46:36,Y
65,23,196,21,4,77793.82,311175.28,2025-06-15 11:59:20,2025-09-20 11:59:20,Y
66,23,280,10,2,960.03,1920.06,2023-10-19 05:24:43,2024-04-05 05:24:43,Y
67,24,72,5,4,45789.54,183158.16,2023-08-08 19:12:36,2023-12-28 19:12:36,Y
68,24,185,28,3,87510.66,262531.98,2025-07-20 07:20:00,2025-08-28 07:20:00,Y
69,24,65,34,1,33681.11,33681.11,2023-02-22 04:27:08,2023-02-24 04:27:08,Y
70,24,9,13,4,78905.16,315620.64,2023-03-24 09:06:40,2023-09-24 09:06:40,Y
71,25,70,34,4,38220.89,152883.56,2022-09-21 00:57:50,2022-10-26 00:57:50,Y
72,25,234,5,2,52484.51,104969.02,2025-08-15 14:48:13,2026-01-21 14:48:13,Y
73,25,233,32,4,21932.5,87730.0,2026-05-02 16:43:45,2026-08-18 16:43:45,Y
