review_id,product_id,customer_id,order_id,rating,review_title,review_text,review_timestamp,is_verified_purchase,created_timestamp,updated_timestamp,is_active
1,241,72,94,3,Est officia quisquam iusto,Corporis tempore ducimus facilis delectus totam ex similique eveniet laborum aperiam beatae laboriosam.,2024-06-03 19:33:11,Y,2024-06-03 19:33:11,2024-07-15 19:33:11,Y
2,191,141,173,5,Eligendi expedita nemo,Aut repellendus reiciendis eveniet officiis recusandae minus id impedit nulla molestias voluptate fugit exercitationem repellendus nihil quos ipsa.,2025-09-25 16:00:17,Y,2025-09-25 16:00:17,2025-11-21 16:00:17,Y
3,35,136,183,5,Molestias doloremque optio aspernatur,Saepe beatae nisi eveniet atque ipsum est illo nisi placeat nisi reprehenderit eveniet officia aperiam dolor consequuntur neque quidem.,2022-11-26 16:50:22,Y,2022-11-26 16:50:22,2023-01-24 16:50:22,Y
4,72,31,123,5,Quidem optio,Minus harum neque deserunt placeat et necessitatibus totam esse velit ipsa voluptatem exercitationem at ab voluptates illo.,2023-10-05 15:20:24,Y,2023-10-05 15:20:24,2024-02-23 15:20:24,Y
5,111,161,480,5,Sequi aperiam tempore,A nam voluptatem autem eligendi adipisci inventore nihil numquam.,2022-03-26 23:22:23,Y,2022-03-26 23:22:23,2022-08-26 23:22:23,Y
6,210,159,377,4,Illo ipsa distinctio cupiditate,Deleniti fugit unde saepe culpa voluptatum pariatur consequatur asperiores accusamus quam.,2023-08-30 06:08:46,Y,2023-08-30 06:08:46,2023-08-31 06:08:46,Y
7,46,179,22,5,Omnis voluptate consequatur consequatur,Similique tempora possimus ut numquam iste incidunt reprehenderit harum dolorem incidunt ab libero quasi quae earum.,2023-09-24 03:17:10,Y,2023-09-24 03:17:10,2023-12-05 03:17:10,Y
8,186,69,396,3,Nemo alias alias laboriosam fuga,Laboriosam porro consequuntur quasi voluptates voluptates quod iure aspernatur suscipit at iusto qui vero aspernatur odio reiciendis est amet exercitationem.,2025-10-14 00:31:55,Y,2025-10-14 00:31:55,2026-02-24 00:31:55,Y
9,1,65,342,5,Iusto maiores,Nemo ex explicabo voluptate eos cumque possimus nisi esse quos ea occaecati neque nemo omnis eos qui ad.,2022-12-07 13:28:39,Y,2022-12-07 13:28:39,2023-06-08 13:28:39,Y
10,120,163,102,4,Assumenda magni sed eius,Nulla eius ducimus qui nobis tenetur qui omnis fuga cupiditate quos.,2025-09-05 00:05:07,Y,2025-09-05 00:05:07,2026-01-09 00:05:07,Y
11,43,86,121,5,Laborum reiciendis similique,Voluptates voluptas nisi reprehenderit saepe quidem impedit fugit optio quas cumque neque sapiente amet eaque.,2022-12-28 20:05:00,Y,2022-12-28 20:05:00,2023-03-28 20:05:00,Y
12,197,141,477,3,Amet iure,Error quia quibusdam minus fugit provident labore corporis sit accusamus unde ipsum perspiciatis vitae placeat aliquam ullam odit.,2022-08-19 23:57:44,Y,2022-08-19 23:57:44,2022-11-10 23:57:44,Y
13,254,191,226,5,Nostrum officiis earum earum,Ducimus nesciunt itaque perferendis doloribus perferendis quo maxime perspiciatis voluptatibus.,2025-11-09 20:43:50,Y,2025-11-09 20:43:50,2026-04-19 20:43:50,Y
14,72,169,439,4,Molestias perferendis rerum accusamus,Minima placeat expedita quam dolorum alias nulla animi nisi tempora.,2024-09-05 01:55:45,Y,2024-09-05 01:55:45,2024-09-14 01:55:45,Y
15,194,7,458,5,Veniam odit provident,Assumenda non fugiat quisquam officia rem delectus beatae delectus eos optio.,2023-08-15 13:09:15,Y,2023-08-15 13:09:15,2024-01-04 13:09:15,Y
16,40,148,427,3,Odit ullam,Quo porro pariatur quo ducimus quos eius aperiam harum voluptatum ducimus repellat debitis architecto.,2022-01-25 18:19:48,Y,2022-01-25 18:19:48,2022-03-28 18:19:48,Y
17,60,145,268,4,Nostrum debitis laudantium,Molestiae inventore nostrum autem ipsam ea alias architecto quas quod accusantium.,2023-08-31 22:49:55,Y,2023-08-31 22:49:55,2023-11-06 22:49:55,Y
18,256,57,357,3,Corrupti odit ut optio,Corrupti ex hic a provident quo laboriosam illo quas repellat architecto dolorem fugit porro.,2026-03-24 06:36:19,Y,2026-03-24 06:36:19,2026-06-04 06:36:19,Y
19,132,38,430,5,Commodi modi voluptatibus ex,Id odio vero at modi vero aspernatur itaque quisquam officia debitis aliquam fugit deleniti.,2026-05-24 02:34:57,Y,2026-05-24 02:34:57,2026-11-25 02:34:57,Y
20,293,58,4,5,Tempore occaecati facere assumenda,Ipsa deleniti alias ad voluptatum dolores harum recusandae officia libero vitae repellat vitae accusamus excepturi excepturi quam illo distinctio omnis minima.,2022-07-28 23:21:49,Y,2022-07-28 23:21:49,2022-11-30 23:21:49,Y
21,28,40,144,5,Corrupti neque unde alias consequuntur,Iusto ullam aliquid praesentium consectetur cupiditate amet esse recusandae.,2022-05-01 14:05:13,Y,2022-05-01 14:05:13,2022-08-16 14:05:13,Y
22,272,79,418,4,Nostrum saepe aperiam repellendus,Libero reiciendis dolore rem incidunt repellat voluptatem perspiciatis eveniet voluptate nemo.,2023-12-31 05:40:39,Y,2023-12-31 05:40:39,2024-06-11 05:40:39,Y
23,28,65,367,5,Eum vitae distinctio,Nihil excepturi blanditiis consequuntur impedit possimus mollitia ipsa unde.,2024-07-21 09:07:12,Y,2024-07-21 09:07:12,2024-09-18 09:07:12,Y
24,51,120,438,4,Consequatur ratione,Nostrum quod accusamus laborum ab debitis at officiis suscipit impedit rem quo possimus dignissimos odit minima illum vel nostrum alias debitis.,2026-03-04 01:35:58,Y,2026-03-04 01:35:58,2026-08-12 01:35:58,Y
25,267,167,256,4,Nostrum at repudiandae error,A doloremque blanditiis minus atque facere quis molestiae dolor quo omnis eius deserunt recusandae placeat voluptas.,2024-07-06 19:54:16,Y,2024-07-06 19:54:16,2024-07-30 19:54:16,Y
26,219,161,480,4,Libero cum ullam amet,Eligendi ipsa ex rem quis aliquam qui unde debitis quos laborum blanditiis tempora quam nihil.,2025-07-27 15:11:52,Y,2025-07-27 15:11:52,2025-11-18 15:11:52,Y
27,74,66,437,4,In quia tempore dolorem,Eveniet atque qui sit fugiat dolore iusto laborum tempora corporis unde.,2022-12-26 20:06:14,Y,2022-12-26 20:06:14,2023-02-09 20:06:14,Y
28,12,176,221,4,Debitis fuga itaque deserunt,Voluptate dicta consectetur porro animi consequatur sequi itaque cupiditate exercitationem suscipit nobis ratione odit nostrum.,2024-12-15 21:20:12,Y,2024-12-15 21:20:12,2025-06-11 21:20:12,Y
29,35,42,104,4,Neque mollitia dolorem,Sequi laudantium voluptatum nihil saepe eius quas quasi doloribus eveniet neque tempora nihil corrupti nemo a.,2026-02-28 19:29:06,Y,2026-02-28 19:29:06,2026-07-31 19:29:06,Y
30,136,195,155,5,Aliquam iusto,Alias minus laboriosam reiciendis reprehenderit iste dolores nam accusamus quasi veniam consequatur eos officia at laboriosam esse provident.,2024-06-22 21:19:51,Y,2024-06-22 21:19:51,2024-08-29 21:19:51,Y
